x1,x2,x3,x4,,,,,,,,,,,,,
0.052946,0.070368,0.520294,0.555718,,,,,,,,,,,,,
0.019536,0.040466,0.111814,0.132098,,,,,,,,,,,,,
0.020948,0.043074,0.087236,0.09447,,,,,,,,,,,,,
0.022144,0.045062,0.066808,0.066404,,,,,,,,,,,,,
0.022906,0.046764,0.05167,0.046606,,,,,,,,,,,,,
0.023258,0.04701,0.039618,0.032828,,,,,,,,,,,,,
0.023914,0.04671,0.03039,0.022728,,,,,,,,,,,,,
0.024372,0.0459,0.023228,0.015372,,,,,,,,,,,,,
0.02478,0.045148,0.017146,0.010542,,,,,,,,,,,,,
0.025098,0.043332,0.012874,0.007742,,,,,,,,,,,,,
0.025288,0.04152,0.009992,0.00492,,,,,,,,,,,,,
0.02529,0.039806,0.007622,0.003488,,,,,,,,,,,,,
0.025024,0.037492,0.005524,0.002264,,,,,,,,,,,,,
0.02474,0.035724,0.004282,0.001522,,,,,,,,,,,,,
0.024332,0.03329,0.003024,0.00107,,,,,,,,,,,,,
0.023612,0.030976,0.002186,0.000726,,,,,,,,,,,,,
0.023682,0.029036,0.00163,0.000486,,,,,,,,,,,,,
0.022834,0.026568,0.001278,0.00033,,,,,,,,,,,,,
0.023106,0.024062,0.000884,0.00022,,,,,,,,,,,,,
0.02207,0.022602,0.000634,0.000168,,,,,,,,,,,,,
0.021776,0.021114,0.000462,0.000114,,,,,,,,,,,,,
0.02124,0.018966,0.000406,5.20E-05,,,,,,,,,,,,,
0.0209,0.017248,0.000312,4.40E-05,,,,,,,,,,,,,
0.020012,0.015792,0.00016,3.00E-05,,,,,,,,,,,,,
0.01949,0.014472,0.00016,1.80E-05,,,,,,,,,,,,,
0.019066,0.012898,9.00E-05,1.20E-05,,,,,,,,,,,,,
0.018256,0.011606,8.00E-05,2.00E-06,,,,,,,,,,,,,
0.017628,0.0106,5.20E-05,1.00E-05,,,,,,,,,,,,,
0.016676,0.009262,3.20E-05,4.00E-06,,,,,,,,,,,,,
0.016702,0.008586,4.60E-05,4.00E-06,,,,,,,,,,,,,
0.01571,0.00734,1.40E-05,2.00E-06,,,,,,,,,,,,,
0.015208,0.006638,1.80E-05,6.00E-06,,,,,,,,,,,,,
0.01474,0.006016,4.00E-06,0,,,,,,,,,,,,,
0.01393,0.005152,6.00E-06,0,,,,,,,,,,,,,
0.013162,0.004718,6.00E-06,0,,,,,,,,,,,,,
0.01278,0.004102,6.00E-06,0,,,,,,,,,,,,,
0.012214,0.003676,4.00E-06,0,,,,,,,,,,,,,
0.011448,0.003406,2.00E-06,0,,,,,,,,,,,,,
0.011258,0.003,2.00E-06,0,,,,,,,,,,,,,
0.01043,0.002564,4.00E-06,0,,,,,,,,,,,,,
0.010118,0.002272,0,0,,,,,,,,,,,,,
0.00949,0.002002,0,0,,,,,,,,,,,,,
0.009206,0.001794,0,0,,,,,,,,,,,,,
0.00853,0.001528,0,0,,,,,,,,,,,,,
0.008194,0.001422,0,0,,,,,,,,,,,,,
0.007734,0.001204,0,0,,,,,,,,,,,,,
0.007546,0.001,0,0,,,,,,,,,,,,,
0.00708,0.000836,0,0,,,,,,,,,,,,,
0.006866,0.000778,0,0,,,,,,,,,,,,,
0.006254,0.000682,0,0,,,,,,,,,,,,,
0.005834,0.00062,0,0,,,,,,,,,,,,,
0.005608,0.000486,0,0,,,,,,,,,,,,,
0.0056,0.000424,0,0,,,,,,,,,,,,,
0.005008,0.00037,0,0,,,,,,,,,,,,,
0.004848,0.000362,0,0,,,,,,,,,,,,,
0.00441,0.00024,0,0,,,,,,,,,,,,,
0.004324,0.000246,0,0,,,,,,,,,,,,,
0.003922,0.00023,0,0,,,,,,,,,,,,,
0.003732,0.00018,0,0,,,,,,,,,,,,,
0.003604,0.000152,0,0,,,,,,,,,,,,,
0.0033,0.000112,0,0,,,,,,,,,,,,,
0.00324,0.000152,0,0,,,,,,,,,,,,,
0.003058,0.000124,0,0,,,,,,,,,,,,,
0.0029,0.0001,0,0,,,,,,,,,,,,,
0.002702,9.00E-05,0,0,,,,,,,,,,,,,
0.00244,6.20E-05,0,0,,,,,,,,,,,,,
0.002248,6.80E-05,0,0,,,,,,,,,,,,,
0.002088,5.00E-05,0,0,,,,,,,,,,,,,
0.002008,6.60E-05,0,0,,,,,,,,,,,,,
0.001942,4.40E-05,0,0,,,,,,,,,,,,,
0.001766,4.00E-05,0,0,,,,,,,,,,,,,
0.001642,2.80E-05,0,0,,,,,,,,,,,,,
0.001444,2.80E-05,0,0,,,,,,,,,,,,,
0.001352,1.80E-05,0,0,,,,,,,,,,,,,
0.001214,1.80E-05,0,0,,,,,,,,,,,,,
0.001236,1.20E-05,0,0,,,,,,,,,,,,,
0.00112,1.80E-05,0,0,,,,,,,,,,,,,
0.001036,1.00E-05,0,0,,,,,,,,,,,,,
0.00099,1.00E-05,0,0,,,,,,,,,,,,,
0.000894,6.00E-06,0,0,,,,,,,,,,,,,
0.000844,8.00E-06,0,0,,,,,,,,,,,,,
